idx,eventId,activity,timestamp,timestampVar,box,batchPosition,equipment,log
0,e1,LoadAL,01/10/2024 09:00:00,t1,,,7111,GeneratedExample
1,e2,LoadFS,01/10/2024 09:00:01,t2,,z,7111,GeneratedExample
2,e3,Fill,01/10/2024 09:00:02,t3,,,7111,GeneratedExample
3,e4,UnloadFS,01/10/2024 09:00:03,t4,,z,7111,GeneratedExample
4,e5,LoadSS,01/10/2024 09:00:04,t5,,z,7111,GeneratedExample
5,e6,Seal,01/10/2024 09:00:05,t6,b1,,7111,GeneratedExample
6,e7,UnloadSS,01/10/2024 09:00:06,t7,,z,7111,GeneratedExample
7,e8,LoadFS,01/10/2024 09:00:07,t8,,y,7111,GeneratedExample
8,e9,Fill,01/10/2024 09:00:08,t9,,,7111,GeneratedExample
9,e10,UnloadFS,01/10/2024 09:00:09,t10,,y,7111,GeneratedExample
10,e11,LoadSS,01/10/2024 09:00:10,t11,,y,7111,GeneratedExample
11,e12,Seal,01/10/2024 09:00:11,t12,b2,,7111,GeneratedExample
12,e13,UnloadSS,01/10/2024 09:00:12,t13,,y,7111,GeneratedExample
13,e14,LoadFS,01/10/2024 09:00:13,t14,,x,7111,GeneratedExample
14,e15,Fill,01/10/2024 09:00:14,t15,,,7111,GeneratedExample
15,e16,UnloadFS,01/10/2024 09:00:15,t16,,x,7111,GeneratedExample
16,e17,LoadSS,01/10/2024 09:00:16,t17,,x,7111,GeneratedExample
17,e18,Seal,01/10/2024 09:00:17,t18,b3,,7111,GeneratedExample
18,e19,UnloadSS,01/10/2024 09:00:18,t19,,x,7111,GeneratedExample
19,e20,UnloadAL,01/10/2024 09:00:19,t20,,,7111,GeneratedExample
20,e21,LoadAL,01/10/2024 09:00:20,t21,,,3111,GeneratedExample
21,e22,LoadFS,01/10/2024 09:00:21,t22,,y,3111,GeneratedExample
22,e23,Fill,01/10/2024 09:00:22,t23,,,3111,GeneratedExample
23,e24,UnloadFS,01/10/2024 09:00:23,t24,,y,3111,GeneratedExample
24,e25,LoadSS,01/10/2024 09:00:24,t25,,y,3111,GeneratedExample
25,e26,Seal,01/10/2024 09:00:25,t26,b4,,3111,GeneratedExample
26,e27,UnloadSS,01/10/2024 09:00:26,t27,,y,3111,GeneratedExample
27,e28,LoadFS,01/10/2024 09:00:27,t28,,z,3111,GeneratedExample
28,e29,Fill,01/10/2024 09:00:28,t29,,,3111,GeneratedExample
29,e30,UnloadFS,01/10/2024 09:00:29,t30,,z,3111,GeneratedExample
30,e31,LoadSS,01/10/2024 09:00:30,t31,,z,3111,GeneratedExample
31,e32,Seal,01/10/2024 09:00:31,t32,b5,,3111,GeneratedExample
32,e33,UnloadSS,01/10/2024 09:00:32,t33,,z,3111,GeneratedExample
33,e34,LoadFS,01/10/2024 09:00:33,t34,,x,3111,GeneratedExample
34,e35,Fill,01/10/2024 09:00:34,t35,,,3111,GeneratedExample
35,e36,UnloadFS,01/10/2024 09:00:35,t36,,x,3111,GeneratedExample
36,e37,LoadSS,01/10/2024 09:00:36,t37,,x,3111,GeneratedExample
37,e38,Seal,01/10/2024 09:00:37,t38,b6,,3111,GeneratedExample
38,e39,UnloadSS,01/10/2024 09:00:38,t39,,x,3111,GeneratedExample
39,e40,UnloadAL,01/10/2024 09:00:39,t40,,,3111,GeneratedExample
40,e41,LoadAL,01/10/2024 09:00:40,t41,,,3111,GeneratedExample
41,e42,LoadFS,01/10/2024 09:00:41,t42,,x,3111,GeneratedExample
42,e43,Fill,01/10/2024 09:00:42,t43,,,3111,GeneratedExample
43,e44,UnloadFS,01/10/2024 09:00:43,t44,,x,3111,GeneratedExample
44,e45,LoadSS,01/10/2024 09:00:44,t45,,x,3111,GeneratedExample
45,e46,Seal,01/10/2024 09:00:45,t46,b7,,3111,GeneratedExample
46,e47,UnloadSS,01/10/2024 09:00:46,t47,,x,3111,GeneratedExample
47,e48,LoadFS,01/10/2024 09:00:47,t48,,y,3111,GeneratedExample
48,e49,Fill,01/10/2024 09:00:48,t49,,,3111,GeneratedExample
49,e50,UnloadFS,01/10/2024 09:00:49,t50,,y,3111,GeneratedExample
50,e51,LoadSS,01/10/2024 09:00:50,t51,,y,3111,GeneratedExample
51,e52,Seal,01/10/2024 09:00:51,t52,b8,,3111,GeneratedExample
52,e53,UnloadSS,01/10/2024 09:00:52,t53,,y,3111,GeneratedExample
53,e54,LoadFS,01/10/2024 09:00:53,t54,,z,3111,GeneratedExample
54,e55,Fill,01/10/2024 09:00:54,t55,,,3111,GeneratedExample
55,e56,UnloadFS,01/10/2024 09:00:55,t56,,z,3111,GeneratedExample
56,e57,LoadSS,01/10/2024 09:00:56,t57,,z,3111,GeneratedExample
57,e58,Seal,01/10/2024 09:00:57,t58,b9,,3111,GeneratedExample
58,e59,UnloadSS,01/10/2024 09:00:58,t59,,z,3111,GeneratedExample
59,e60,UnloadAL,01/10/2024 09:00:59,t60,,,3111,GeneratedExample
