idx,eventId,activity,timestamp,timestampVar,box,batchPosition,equipment,log
0,e1,LoadAL,01/10/2024 09:00:00,t1,,,5000,GeneratedExample
1,e2,LoadFS,01/10/2024 09:00:01,t2,,y,5000,GeneratedExample
2,e3,Fill,01/10/2024 09:00:02,t3,,,5000,GeneratedExample
3,e4,UnloadFS,01/10/2024 09:00:03,t4,,y,5000,GeneratedExample
4,e5,LoadSS,01/10/2024 09:00:04,t5,,y,5000,GeneratedExample
5,e6,Seal,01/10/2024 09:00:05,t6,b1,,5000,GeneratedExample
6,e7,UnloadSS,01/10/2024 09:00:06,t7,,y,5000,GeneratedExample
7,e8,LoadFS,01/10/2024 09:00:07,t8,,z,5000,GeneratedExample
8,e9,Fill,01/10/2024 09:00:08,t9,,,5000,GeneratedExample
9,e10,UnloadFS,01/10/2024 09:00:09,t10,,z,5000,GeneratedExample
10,e11,LoadSS,01/10/2024 09:00:10,t11,,z,5000,GeneratedExample
11,e12,Seal,01/10/2024 09:00:11,t12,b2,,5000,GeneratedExample
12,e13,UnloadSS,01/10/2024 09:00:12,t13,,z,5000,GeneratedExample
13,e14,LoadFS,01/10/2024 09:00:13,t14,,x,5000,GeneratedExample
14,e15,Fill,01/10/2024 09:00:14,t15,,,5000,GeneratedExample
15,e16,UnloadFS,01/10/2024 09:00:15,t16,,x,5000,GeneratedExample
16,e17,LoadSS,01/10/2024 09:00:16,t17,,x,5000,GeneratedExample
17,e18,Seal,01/10/2024 09:00:17,t18,b3,,5000,GeneratedExample
18,e19,UnloadSS,01/10/2024 09:00:18,t19,,x,5000,GeneratedExample
19,e20,UnloadAL,01/10/2024 09:00:19,t20,,,5000,GeneratedExample
20,e21,LoadAL,01/10/2024 09:00:20,t21,,,7000,GeneratedExample
21,e22,LoadFS,01/10/2024 09:00:21,t22,,z,7000,GeneratedExample
22,e23,Fill,01/10/2024 09:00:22,t23,,,7000,GeneratedExample
23,e24,UnloadFS,01/10/2024 09:00:23,t24,,z,7000,GeneratedExample
